shape,color,alpha,date,classification
POINT (-94.52 32.62389),black,1.0,2004-02-27,Class A
POINT (-94.15000000000001 32.58333),black,1.0,2004-02-28,Class A
POINT (-94.37361 32.65),black,1.0,2004-02-28,Class B
POINT (-97.815 32.475),black,1.0,2011-10-19,Class B
POINT (-95.76861 33.48),black,1.0,1996-12-15,Class A
POINT (-98.03082999999999 29.57444000000001),black,1.0,1993-07-01,Class B
POINT (-100.5167 31.84167),black,1.0,2004-01-22,Class B
POINT (-98.22499999999999 33.675),black,1.0,2015-06-17,Class A
POINT (-95.37101 31.82347),black,1.0,1981-04-30,Class A
POINT (-94.25556 33.18528),black,1.0,1997-07-15,Class B
POINT (-96.55 30.33333),black,1.0,1972-07-15,Class B
POINT (-94.11611000000001 33.37917),black,1.0,1978-10-28,Class B
POINT (-97.5 32.15),black,1.0,1979-08-25,Class A
POINT (-98.68465 29.56835),black,1.0,2008-09-15,Class A
POINT (-94.76362 31.30853),black,1.0,1968-10-18,Class A
POINT (-95.6669 31.6212),black,1.0,2001-06-15,Class A
POINT (-95.68333 31.78333),black,1.0,2003-10-17,Class B
POINT (-94.45095000000001 31.2371),black,1.0,1979-08-15,Class A
POINT (-98.56143 29.26258),black,1.0,2014-01-22,Class B
POINT (-94.35722 33.28333),black,1.0,2004-02-19,Class A
POINT (-96.59166999999999 30.525),black,1.0,2005-01-17,Class B
POINT (-96.42506 30.55738),black,1.0,2017-09-02,Class B
POINT (-94.52925 33.05685),black,1.0,1998-10-15,Class B
POINT (-94.59999999999999 32.9),black,1.0,2004-03-01,Class B
POINT (-94.25694 33.07639),black,1.0,2004-08-10,Class A
POINT (-94.32138999999999 33.09625),black,1.0,2005-04-21,Class A
POINT (-94.14798999999999 33.17162),black,1.0,2014-10-23,Class B
POINT (-94.12258 33.2784),black,1.0,2014-11-29,Class B
POINT (-95.01264 31.90791),black,1.0,2003-10-22,Class A
POINT (-98.15555999999999 29.79893),black,1.0,2012-09-15,Class B
POINT (-98.15854 29.52533),black,1.0,2015-01-09,Class A
POINT (-97.04361 33.48028),black,1.0,1990-05-30,Class A
POINT (-96.96333 33.81861),black,1.0,2004-05-24,Class B
POINT (-97.05903000000001 33.77528),black,1.0,2004-12-27,Class A
POINT (-97.59945999999999 31.37756),black,1.0,2004-12-01,Class B
POINT (-95.77 33.24722),black,1.0,2003-12-15,Class B
POINT (-95.82056 33.26222),black,1.0,2003-12-16,Class A
